Usecase,Agent,Run,Score,Model
Return Eligibility and RMA,Brackett,1,0.355,Fused/multiple models
Return Eligibility and RMA,Brackett,2,0.528,Fused/multiple models
RFQ Quote Award,Brackett,1,0.7,Fused/multiple models
RFQ Quote Award,Brackett,2,0.885,Fused/multiple models
Shortage Substitution Queue,Brackett,1,0.687,Fused/multiple models
Shortage Substitution Queue,Brackett,2,0.605,Fused/multiple models
Return Eligibility and RMA 1,Brackett,1,0.48,Fused/multiple models
Return Eligibility and RMA 1,Brackett,2,0.64,Fused/multiple models
RFQ Quote Award 1,Brackett,1,0.73,Fused/multiple models
RFQ Quote Award 1,Brackett,2,0.8,Fused/multiple models
Shortage Substitution Queue 1,Brackett,1,0.44,Fused/multiple models
Shortage Substitution Queue 1,Brackett,2,0.455,Fused/multiple models
Supplier Price Increase Review 1,Brackett,1,0.462,Fused/multiple models
Supplier Price Increase Review 1,Brackett,2,0.39,Fused/multiple models
Warranty Claim Intake 1,Brackett,1,0.73,Fused/multiple models
Warranty Claim Intake 1,Brackett,2,0.685,Fused/multiple models
Weather-Aware Departure Review 1,Brackett,1,0.47,Fused/multiple models
Weather-Aware Departure Review 1,Brackett,2,0.48,Fused/multiple models
